CADD	Gene_name
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
34.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
12.16	NPM1
34.0	NPM1
35.0	NPM1
35.0	NPM1
35.0	NPM1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
32.0	U2AF1
32.0	U2AF1
32.0	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
28.7	U2AF1
35.0	U2AF1
32.0	U2AF1
28.7	U2AF1
35.0	U2AF1
36.0	RUNX1
36.0	RUNX1
32.0	RUNX1
	RUNX1
15.76	RUNX1
11.97	RUNX1
11.97	RUNX1
26.4	RUNX1
34.0	RUNX1
35.0	RUNX1
34.0	RUNX1
35.0	RUNX1
11.81	RUNX1
35.0	RUNX1
20.3	RUNX1
45.0	RUNX1
36.0	RUNX1
34.0	RUNX1
36.0	RUNX1
21.2	RUNX1
34.0	RUNX1
35.0	RUNX1
35.0	RUNX1
18.81	RUNX1
34.0	RUNX1
31.0	RUNX1
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
24.3	IDH2
24.3	IDH2
28.2	IDH2
28.2	IDH2
28.2	IDH2
20.1	ASXL1
7.366	ASXL1
1.277	ASXL1
21.3	ASXL1
35.0	ASXL1
16.77	ASXL1
27.4	ASXL1
35.0	ASXL1
35.0	ASXL1
35.0	ASXL1
4.439	ASXL1
31.0	ASXL1
35.0	ASXL1
35.0	ASXL1
34.0	ASXL1
24.3	ASXL1
35.0	ASXL1
3.354	ASXL1
7.366	ASXL1
1.277	ASXL1
21.3	ASXL1
35.0	ASXL1
25.0	ASXL1
	ASXL1
	ASXL1
35.0	ASXL1
29.7	TET2
0.063	TET2
21.1	TET2
7.026	TET2
7.026	TET2
21.1	TET2
13.7	TET2
22.8	TET2
22.5	TET2
36.0	TET2
39.0	TET2
27.6	TET2
29.1	TET2
28.7	TET2
34.0	TET2
24.8	TET2
0.063	TET2
26.7	TET2
25.6	TET2
20.2	TET2
28.6	TET2
32.0	TET2
21.6	TET2
34.0	TET2
34.0	TET2
40.0	TET2
27.6	TET2
37.0	WT1
35.0	WT1
33.0	WT1
35.0	WT1
34.0	WT1
34.0	WT1
36.0	WT1
35.0	WT1
36.0	WT1
35.0	WT1
35.0	WT1
43.0	WT1
33.0	WT1
35.0	WT1
34.0	WT1
35.0	WT1
32.0	WT1
36.0	WT1
25.1	WT1
53.0	WT1
53.0	WT1
8.637	WT1
53.0	WT1
34.0	WT1
35.0	WT1
36.0	WT1
23.8	PTPN11
25.9	PTPN11
28.3	PTPN11
27.6	PTPN11
27.5	PTPN11
32.0	PTPN11
31.0	PTPN11
27.5	PTPN11
27.6	PTPN11
27.4	PTPN11
24.8	PTPN11
27.9	PTPN11
27.6	PTPN11
33.0	PTPN11
28.4	PTPN11
28.1	PTPN11
28.5	PTPN11
28.3	PTPN11
27.5	PTPN11
27.6	PTPN11
22.8	BCOR
20.2	BCOR
0.003	BCOR
0.43	BCOR
0.007	BCOR
22.8	BCOR
20.2	BCOR
20.2	BCOR
34.0	BCOR
35.0	BCOR
35.0	BCOR
22.8	BCOR
0.43	BCOR
22.8	BCOR
37.0	BCOR
41.0	BCOR
0.43	BCOR
27.7	KRAS
31.0	KRAS
31.0	KRAS
27.3	KRAS
27.7	KRAS
31.0	KRAS
31.0	KRAS
31.0	KRAS
27.3	KRAS
28.4	KRAS
29.3	KRAS
32.0	KRAS
32.0	KRAS
28.4	KRAS
21.0	KRAS
27.7	KRAS
29.0	TP53
10.64	TP53
29.7	TP53
10.64	TP53
10.64	TP53
10.64	TP53
29.4	TP53
38.0	TP53
32.0	TP53
18.24	TP53
26.7	TP53
42.0	TP53
11.87	TP53
1.435	TP53
11.1	TP53
1.435	TP53
	TP53
40.0	TP53
15.24	TP53
17.8	IDH1
17.8	IDH1
26.7	IDH1
23.4	IDH1
23.4	IDH1
23.4	IDH1
27.7	IDH1
27.7	IDH1
23.4	IDH1
23.4	IDH1
11.05	IDH1
23.4	IDH1
27.7	IDH1
27.7	IDH1
21.3	PHF6
21.3	PHF6
34.0	PHF6
3.772	PHF6
5.593	PHF6
3.772	PHF6
3.772	PHF6
5.593	PHF6
3.772	PHF6
5.593	PHF6
21.3	PHF6
24.4	PHF6
32.0	PHF6
21.3	PHF6
26.5	SF3B1
35.0	SF3B1
35.0	SF3B1
27.8	SF3B1
26.8	SF3B1
26.8	SF3B1
26.8	SF3B1
26.5	SF3B1
24.5	SF3B1
27.8	SF3B1
27.3	SRSF2
27.3	SRSF2
23.7	SRSF2
27.3	SRSF2
27.3	SRSF2
27.3	SRSF2
27.3	SRSF2
27.3	SRSF2
10.66	KIT
30.0	KIT
30.0	KIT
7.932	KIT
13.5	KIT
24.9	KIT
21.4	KIT
30.0	KIT
30.0	KIT
